"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P7",NA,"lengths","Visual",50,55,5,1,12,-5
"P7",NA,"lengths","Visual",60,65,5,1,13,-5
"P7",NA,"lengths","Visual",80,75,5,1,21,5
"P7",NA,"lengths","Visual",20,25,5,1,26,-5
"P7",NA,"lengths","Visual",30,35,5,1,33,-5
"P8",NA,"lengths","Visual",50,45,5,3,6,5
"P8",NA,"lengths","Visual",65,55,10,3,12,10
"P8",NA,"lengths","Visual",80,65,15,3,13,15
"P8",NA,"lengths","Visual",85,75,10,3,21,10
"P8",NA,"lengths","Visual",10,25,15,3,26,-15
"P8",NA,"lengths","Visual",25,35,10,3,33,-10
"P9",NA,"lengths","Visual",40,45,5,2,6,-5
"P9",NA,"lengths","Visual",55,55,0,2,12,0
"P9",NA,"lengths","Visual",60,65,5,2,13,-5
"P9",NA,"lengths","Visual",75,75,0,2,21,0
"P9",NA,"lengths","Visual",18,25,7,2,26,-7
"P9",NA,"lengths","Visual",37,35,2,2,33,2
"P10",NA,"lengths","Visual",45,45,0,1,6,0
"P10",NA,"lengths","Visual",85,65,20,1,13,20
"P10",NA,"lengths","Visual",80,75,5,1,21,5
"P10",NA,"lengths","Visual",20,25,5,1,26,-5
"P10",NA,"lengths","Visual",35,35,0,1,33,0
"P11",NA,"lengths","Visual",33,45,12,3,6,-12
"P11",NA,"lengths","Visual",45,55,10,3,12,-10
"P11",NA,"lengths","Visual",55,65,10,3,13,-10
"P11",NA,"lengths","Visual",80,75,5,3,21,5
"P11",NA,"lengths","Visual",20,25,5,3,26,-5
"P11",NA,"lengths","Visual",33,35,2,3,33,-2
"P12",NA,"lengths","Visual",33,45,12,2,6,-12
"P12",NA,"lengths","Visual",50,55,5,2,12,-5
"P12",NA,"lengths","Visual",60,65,5,2,13,-5
"P12",NA,"lengths","Visual",60,75,15,2,21,-15
"P12",NA,"lengths","Visual",15,25,10,2,26,-10
"P12",NA,"lengths","Visual",25,35,10,2,33,-10
"P1",NA,"areas","Visual",30,25,5,2,5,5
"P1",NA,"areas","Visual",40,35,5,2,9,5
"P1",NA,"areas","Visual",60,45,15,2,14,15
"P1",NA,"areas","Visual",60,55,5,2,20,5
"P1",NA,"areas","Visual",70,65,5,2,30,5
"P1",NA,"areas","Visual",90,75,15,2,31,15
"P2",NA,"areas","Visual",25,25,0,2,5,0
"P2",NA,"areas","Visual",30,35,5,2,9,-5
"P2",NA,"areas","Visual",40,45,5,2,14,-5
"P2",NA,"areas","Visual",55,55,0,2,20,0
"P2",NA,"areas","Visual",70,65,5,2,30,5
"P2",NA,"areas","Visual",70,75,5,2,31,-5
"P3",NA,"areas","Visual",25,25,0,3,5,0
"P3",NA,"areas","Visual",30,35,5,3,9,-5
"P3",NA,"areas","Visual",60,45,15,3,14,15
"P3",NA,"areas","Visual",60,55,5,3,20,5
"P3",NA,"areas","Visual",80,65,15,3,30,15
"P3",NA,"areas","Visual",90,75,15,3,31,15
"P4",NA,"areas","Visual",20,25,5,1,5,-5
"P4",NA,"areas","Visual",25,35,10,1,9,-10
"P4",NA,"areas","Visual",30,45,15,1,14,-15
"P4",NA,"areas","Visual",35,55,20,1,20,-20
"P4",NA,"areas","Visual",75,65,10,1,30,10
"P4",NA,"areas","Visual",80,75,5,1,31,5
"P5",NA,"areas","Visual",25,25,0,1,5,0
"P5",NA,"areas","Visual",33,35,2,1,9,-2
"P5",NA,"areas","Visual",50,45,5,1,14,5
"P5",NA,"areas","Visual",50,55,5,1,20,-5
"P5",NA,"areas","Visual",80,65,15,1,30,15
"P5",NA,"areas","Visual",80,75,5,1,31,5
"P6",NA,"areas","Visual",44,25,19,3,5,19
"P6",NA,"areas","Visual",60,35,25,3,9,25
"P6",NA,"areas","Visual",75,45,30,3,14,30
"P6",NA,"areas","Visual",80,55,25,3,20,25
"P6",NA,"areas","Visual",90,65,25,3,30,25
"P6",NA,"areas","Visual",92,75,17,3,31,17
"P7",NA,"areas","Visual",60,25,35,1,5,35
"P7",NA,"areas","Visual",50,35,15,1,9,15
"P7",NA,"areas","Visual",50,45,5,1,14,5
"P7",NA,"areas","Visual",60,55,5,1,20,5
"P7",NA,"areas","Visual",60,65,5,1,30,-5
"P7",NA,"areas","Visual",80,75,5,1,31,5
"P8",NA,"areas","Visual",20,25,5,3,5,-5
"P8",NA,"areas","Visual",30,35,5,3,9,-5
"P8",NA,"areas","Visual",75,45,30,3,14,30
"P8",NA,"areas","Visual",80,55,25,3,20,25
"P8",NA,"areas","Visual",85,65,20,3,30,20
"P8",NA,"areas","Visual",90,75,15,3,31,15
"P9",NA,"areas","Visual",33,25,8,2,5,8
"P9",NA,"areas","Visual",40,35,5,2,9,5
"P9",NA,"areas","Visual",45,45,0,2,14,0
"P9",NA,"areas","Visual",50,55,5,2,20,-5
"P9",NA,"areas","Visual",80,65,15,2,30,15
"P9",NA,"areas","Visual",90,75,15,2,31,15
"P10",NA,"areas","Visual",35,25,10,1,5,10
"P10",NA,"areas","Visual",40,35,5,1,9,5
"P10",NA,"areas","Visual",70,45,25,1,14,25
"P10",NA,"areas","Visual",75,55,20,1,20,20
"P10",NA,"areas","Visual",75,65,10,1,30,10
"P10",NA,"areas","Visual",75,75,0,1,31,0
"P11",NA,"areas","Visual",10,25,15,3,5,-15
"P11",NA,"areas","Visual",33,35,2,3,9,-2
"P11",NA,"areas","Visual",50,45,5,3,14,5
"P11",NA,"areas","Visual",40,55,15,3,20,-15
"P11",NA,"areas","Visual",90,65,25,3,30,25
"P11",NA,"areas","Visual",90,75,15,3,31,15
"P12",NA,"areas","Visual",10,25,15,2,5,-15
"P12",NA,"areas","Visual",25,35,10,2,9,-10
"P12",NA,"areas","Visual",40,45,5,2,14,-5
"P12",NA,"areas","Visual",50,55,5,2,20,-5
"P12",NA,"areas","Visual",60,65,5,2,30,-5
"P12",NA,"areas","Visual",80,75,5,2,31,5
"P1",NA,"shadings","Visual",60,75,15,2,1,-15
"P1",NA,"shadings","Visual",20,25,5,2,8,-5
"P1",NA,"shadings","Visual",25,35,10,2,16,-10
"P1",NA,"shadings","Visual",50,45,5,2,22,5
"P1",NA,"shadings","Visual",60,55,5,2,25,5
"P1",NA,"shadings","Visual",25,65,40,2,36,-40
"P2",NA,"shadings","Visual",50,75,25,2,1,-25
"P2",NA,"shadings","Visual",5,25,20,2,8,-20
"P2",NA,"shadings","Visual",15,35,20,2,16,-20
"P2",NA,"shadings","Visual",25,45,20,2,22,-20
