"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P7",NA,"curvatures","Tactile",50,75,25,2,7,-25
"P7",NA,"curvatures","Tactile",50,25,25,2,18,25
"P7",NA,"curvatures","Tactile",50,35,15,2,24,15
"P7",NA,"curvatures","Tactile",80,45,35,2,30,35
"P7",NA,"curvatures","Tactile",50,55,5,2,32,-5
"P8",NA,"curvatures","Tactile",85,65,20,1,1,20
"P8",NA,"curvatures","Tactile",80,75,5,1,7,5
"P8",NA,"curvatures","Tactile",60,25,35,1,18,35
"P8",NA,"curvatures","Tactile",20,35,15,1,24,-15
"P8",NA,"curvatures","Tactile",90,45,45,1,30,45
"P8",NA,"curvatures","Tactile",40,55,15,1,32,-15
"P9",1,"curvatures","Tactile",65,65,0,3,1,0
"P9",NA,"curvatures","Tactile",80,75,5,3,7,5
"P9",NA,"curvatures","Tactile",60,25,35,3,18,35
"P9",NA,"curvatures","Tactile",65,35,30,3,24,30
"P9",NA,"curvatures","Tactile",80,45,35,3,30,35
"P9",NA,"curvatures","Tactile",66,55,11,3,32,11
"P10",NA,"curvatures","Tactile",45,65,20,3,1,-20
"P10",NA,"curvatures","Tactile",75,75,0,3,7,0
"P10",NA,"curvatures","Tactile",33,25,8,3,18,8
"P10",NA,"curvatures","Tactile",80,35,45,3,24,45
"P10",NA,"curvatures","Tactile",33,45,12,3,30,-12
"P10",NA,"curvatures","Tactile",55,55,0,3,32,0
"P11",1,"curvatures","Tactile",80,65,15,2,1,15
"P11",NA,"curvatures","Tactile",80,75,5,2,7,5
"P11",NA,"curvatures","Tactile",45,25,20,2,18,20
"P11",NA,"curvatures","Tactile",30,35,5,2,24,-5
"P11",NA,"curvatures","Tactile",90,45,45,2,30,45
"P11",NA,"curvatures","Tactile",70,55,15,2,32,15
"P12",NA,"curvatures","Tactile",30,65,35,1,1,-35
"P12",NA,"curvatures","Tactile",25,75,50,1,7,-50
"P12",NA,"curvatures","Tactile",50,25,25,1,18,25
"P12",NA,"curvatures","Tactile",60,35,25,1,24,25
"P12",NA,"curvatures","Tactile",60,45,15,1,30,15
"P12",NA,"curvatures","Tactile",80,55,25,1,32,25
"P1",NA,"lengths","Tactile",20,25,5,1,3,-5
"P1",NA,"lengths","Tactile",40,35,5,1,10,5
"P1",NA,"lengths","Tactile",50,45,5,1,15,5
"P1",NA,"lengths","Tactile",50,55,5,1,19,-5
"P1",NA,"lengths","Tactile",70,65,5,1,25,5
"P1",NA,"lengths","Tactile",80,75,5,1,34,5
"P2",NA,"lengths","Tactile",20,25,5,3,3,-5
"P2",NA,"lengths","Tactile",25,35,10,3,10,-10
"P2",NA,"lengths","Tactile",40,45,5,3,15,-5
"P2",NA,"lengths","Tactile",55,55,0,3,19,0
"P2",NA,"lengths","Tactile",60,65,5,3,25,-5
"P2",NA,"lengths","Tactile",75,75,0,3,34,0
"P3",NA,"lengths","Tactile",20,25,5,1,3,-5
"P3",NA,"lengths","Tactile",33,35,2,1,10,-2
"P3",NA,"lengths","Tactile",35,45,10,1,15,-10
"P3",NA,"lengths","Tactile",60,55,5,1,19,5
"P3",NA,"lengths","Tactile",50,65,15,1,25,-15
"P3",NA,"lengths","Tactile",50,75,25,1,34,-25
"P4",NA,"lengths","Tactile",20,25,5,2,3,-5
"P4",NA,"lengths","Tactile",25,35,10,2,10,-10
"P4",NA,"lengths","Tactile",30,45,15,2,15,-15
"P4",NA,"lengths","Tactile",30,55,25,2,19,-25
"P4",NA,"lengths","Tactile",70,65,5,2,25,5
"P4",NA,"lengths","Tactile",70,75,5,2,34,-5
"P5",NA,"lengths","Tactile",25,25,0,3,3,0
"P5",NA,"lengths","Tactile",25,35,10,3,10,-10
"P5",NA,"lengths","Tactile",33,45,12,3,15,-12
"P5",NA,"lengths","Tactile",50,55,5,3,19,-5
"P5",NA,"lengths","Tactile",50,65,15,3,25,-15
"P5",NA,"lengths","Tactile",75,75,0,3,34,0
"P6",NA,"lengths","Tactile",30,25,5,2,3,5
"P6",NA,"lengths","Tactile",27,35,8,2,10,-8
"P6",NA,"lengths","Tactile",38,45,7,2,15,-7
"P6",NA,"lengths","Tactile",45,55,10,2,19,-10
"P6",NA,"lengths","Tactile",45,65,20,2,25,-20
"P6",NA,"lengths","Tactile",50,75,25,2,34,-25
"P7",NA,"lengths","Tactile",30,25,5,2,3,5
"P7",NA,"lengths","Tactile",30,35,5,2,10,-5
"P7",NA,"lengths","Tactile",50,45,5,2,15,5
"P7",NA,"lengths","Tactile",60,55,5,2,19,5
"P7",NA,"lengths","Tactile",50,65,15,2,25,-15
"P7",NA,"lengths","Tactile",80,75,5,2,34,5
"P8",NA,"lengths","Tactile",10,25,15,1,3,-15
"P8",NA,"lengths","Tactile",30,35,5,1,10,-5
"P8",NA,"lengths","Tactile",30,45,15,1,15,-15
"P8",NA,"lengths","Tactile",50,55,5,1,19,-5
"P8",NA,"lengths","Tactile",30,65,35,1,25,-35
"P8",NA,"lengths","Tactile",65,75,10,1,34,-10
"P9",NA,"lengths","Tactile",23,25,2,3,3,-2
"P9",NA,"lengths","Tactile",30,35,5,3,10,-5
"P9",NA,"lengths","Tactile",40,45,5,3,15,-5
"P9",NA,"lengths","Tactile",55,55,0,3,19,0
"P9",NA,"lengths","Tactile",70,65,5,3,25,5
"P9",NA,"lengths","Tactile",82,75,7,3,34,7
"P10",NA,"lengths","Tactile",30,25,5,3,3,5
"P10",NA,"lengths","Tactile",35,35,0,3,10,0
"P10",NA,"lengths","Tactile",65,55,10,3,19,10
"P10",NA,"lengths","Tactile",30,65,35,3,25,-35
"P10",NA,"lengths","Tactile",50,75,25,3,34,-25
"P11",NA,"lengths","Tactile",20,25,5,2,3,-5
"P11",NA,"lengths","Tactile",33,35,2,2,10,-2
"P11",NA,"lengths","Tactile",40,45,5,2,15,-5
"P11",NA,"lengths","Tactile",80,55,25,2,19,25
"P11",NA,"lengths","Tactile",50,65,15,2,25,-15
"P11",NA,"lengths","Tactile",90,75,15,2,34,15
"P12",NA,"lengths","Tactile",25,25,0,1,3,0
"P12",NA,"lengths","Tactile",25,35,10,1,10,-10
"P12",NA,"lengths","Tactile",33,45,12,1,15,-12
"P12",NA,"lengths","Tactile",33,55,22,1,19,-22
"P12",NA,"lengths","Tactile",50,65,15,1,25,-15
"P12",NA,"lengths","Tactile",80,75,5,1,34,5
"P1",NA,"areas","Tactile",30,35,5,1,6,-5
"P1",NA,"areas","Tactile",50,45,5,1,12,5
"P1",NA,"areas","Tactile",50,55,5,1,17,-5
"P1",NA,"areas","Tactile",50,65,15,1,20,-15
"P1",NA,"areas","Tactile",80,75,5,1,27,5
"P1",NA,"areas","Tactile",20,25,5,1,36,-5
"P2",NA,"areas","Tactile",33,35,2,3,6,-2
"P2",NA,"areas","Tactile",40,45,5,3,12,-5
"P2",NA,"areas","Tactile",45,55,10,3,17,-10
"P2",NA,"areas","Tactile",50,65,15,3,20,-15
"P2",NA,"areas","Tactile",80,75,5,3,27,5
"P2",NA,"areas","Tactile",33,25,8,3,36,8
"P3",NA,"areas","Tactile",25,35,10,1,6,-10
"P3",NA,"areas","Tactile",20,45,25,1,12,-25
"P3",NA,"areas","Tactile",50,55,5,1,17,-5
"P3",NA,"areas","Tactile",60,65,5,1,20,-5
"P3",NA,"areas","Tactile",90,75,15,1,27,15
"P3",NA,"areas","Tactile",20,25,5,1,36,-5
"P4",NA,"areas","Tactile",15,35,20,2,6,-20
"P4",NA,"areas","Tactile",25,45,20,2,12,-20
"P4",NA,"areas","Tactile",30,55,25,2,17,-25
"P4",NA,"areas","Tactile",35,65,30,2,20,-30
"P4",NA,"areas","Tactile",80,75,5,2,27,5
"P4",NA,"areas","Tactile",15,25,10,2,36,-10
"P5",NA,"areas","Tactile",33,35,2,3,6,-2
"P5",NA,"areas","Tactile",50,45,5,3,12,5
"P5",NA,"areas","Tactile",50,55,5,3,17,-5
"P5",NA,"areas","Tactile",75,65,10,3,20,10
"P5",NA,"areas","Tactile",75,75,0,3,27,0
"P5",NA,"areas","Tactile",25,25,0,3,36,0
"P6",NA,"areas","Tactile",47,35,12,2,6,12
"P6",NA,"areas","Tactile",50,45,5,2,12,5
"P6",NA,"areas","Tactile",80,55,25,2,17,25
"P6",NA,"areas","Tactile",60,65,5,2,20,-5
"P6",NA,"areas","Tactile",74,75,1,2,27,-1
"P6",NA,"areas","Tactile",40,25,15,2,36,15
"P7",NA,"areas","Tactile",50,35,15,2,6,15
"P7",NA,"areas","Tactile",60,45,15,2,12,15
"P7",NA,"areas","Tactile",50,55,5,2,17,-5
"P7",NA,"areas","Tactile",80,65,15,2,20,15
"P7",NA,"areas","Tactile",80,75,5,2,27,5
"P7",NA,"areas","Tactile",25,25,0,2,36,0
"P8",NA,"areas","Tactile",10,35,25,1,6,-25
"P8",NA,"areas","Tactile",45,45,0,1,12,0
"P8",NA,"areas","Tactile",35,55,20,1,17,-20
"P8",NA,"areas","Tactile",75,65,10,1,20,10
"P8",1,"areas","Tactile",95,75,20,1,27,20
"P8",NA,"areas","Tactile",10,25,15,1,36,-15
"P9",NA,"areas","Tactile",65,35,30,3,6,30
"P9",NA,"areas","Tactile",65,45,20,3,12,20
"P9",NA,"areas","Tactile",70,55,15,3,17,15
"P9",NA,"areas","Tactile",75,65,10,3,20,10
"P9",NA,"areas","Tactile",88,75,13,3,27,13
"P9",NA,"areas","Tactile",38,25,13,3,36,13
"P10",NA,"areas","Tactile",25,35,10,3,6,-10
"P10",NA,"areas","Tactile",30,45,15,3,12,-15
"P10",NA,"areas","Tactile",60,55,5,3,17,5
"P10",NA,"areas","Tactile",55,65,10,3,20,-10
"P10",NA,"areas","Tactile",85,75,10,3,27,10
"P10",NA,"areas","Tactile",30,25,5,3,36,5
"P11",NA,"areas","Tactile",50,35,15,2,6,15
"P11",NA,"areas","Tactile",60,45,15,2,12,15
"P11",NA,"areas","Tactile",50,55,5,2,17,-5
"P11",NA,"areas","Tactile",40,65,25,2,20,-25
"P11",NA,"areas","Tactile",90,75,15,2,27,15
"P11",NA,"areas","Tactile",30,25,5,2,36,5
"P12",NA,"areas","Tactile",25,35,10,1,6,-10
"P12",NA,"areas","Tactile",30,45,15,1,12,-15
"P12",NA,"areas","Tactile",40,55,15,1,17,-15
"P12",NA,"areas","Tactile",33,65,32,1,20,-32
"P12",NA,"areas","Tactile",80,75,5,1,27,5
"P12",NA,"areas","Tactile",10,25,15,1,36,-15
"P1",NA,"shadings","Tactile",20,55,35,1,2,-35
"P1",1,"shadings","Tactile",99,65,34,1,8,34
"P1",1,"shadings","Tactile",99,75,24,1,13,24
"P1",NA,"shadings","Tactile",5,25,20,1,22,-20
"P1",NA,"shadings","Tactile",10,35,25,1,26,-25
"P1",NA,"shadings","Tactile",30,45,15,1,31,-15
"P2",NA,"shadings","Tactile",25,55,30,3,2,-30
"P2",NA,"shadings","Tactile",40,65,25,3,8,-25
"P2",NA,"shadings","Tactile",50,75,25,3,13,-25
"P2",NA,"shadings","Tactile",25,25,0,3,22,0
"P2",NA,"shadings","Tactile",25,35,10,3,26,-10
"P2",NA,"shadings","Tactile",40,45,5,3,31,-5
"P3",NA,"shadings","Tactile",25,55,30,1,2,-30
"P3",NA,"shadings","Tactile",30,65,35,1,8,-35
"P3",NA,"shadings","Tactile",80,75,5,1,13,5
"P3",NA,"shadings","Tactile",15,25,10,1,22,-10
"P3",NA,"shadings","Tactile",25,35,10,1,26,-10
"P3",NA,"shadings","Tactile",70,45,25,1,31,25
"P4",NA,"shadings","Tactile",50,55,5,2,2,-5
"P4",1,"shadings","Tactile",70,65,5,2,8,5
"P4",NA,"shadings","Tactile",80,75,5,2,13,5
"P4",NA,"shadings","Tactile",20,25,5,2,22,-5
"P4",NA,"shadings","Tactile",60,35,25,2,26,25
"P4",NA,"shadings","Tactile",80,45,35,2,31,35
"P5",NA,"shadings","Tactile",50,55,5,3,2,-5
"P5",NA,"shadings","Tactile",50,65,15,3,8,-15
"P5",NA,"shadings","Tactile",75,75,0,3,13,0
"P5",NA,"shadings","Tactile",10,25,15,3,22,-15
"P5",NA,"shadings","Tactile",25,35,10,3,26,-10
"P5",NA,"shadings","Tactile",50,45,5,3,31,5
"P6",NA,"shadings","Tactile",70,55,15,2,2,15
"P6",NA,"shadings","Tactile",60,65,5,2,8,-5
"P6",1,"shadings","Tactile",80,75,5,2,13,5
"P6",NA,"shadings","Tactile",25,25,0,2,22,0
"P6",NA,"shadings","Tactile",40,35,5,2,26,5
"P6",NA,"shadings","Tactile",40,45,5,2,31,-5
"P7",NA,"shadings","Tactile",50,55,5,2,2,-5
"P7",NA,"shadings","Tactile",50,65,15,2,8,-15
"P7",NA,"shadings","Tactile",50,75,25,2,13,-25
"P7",NA,"shadings","Tactile",25,25,0,2,22,0
"P7",NA,"shadings","Tactile",25,35,10,2,26,-10
"P7",NA,"shadings","Tactile",50,45,5,2,31,5
"P8",NA,"shadings","Tactile",75,55,20,1,2,20
"P8",1,"shadings","Tactile",90,65,25,1,8,25
"P8",NA,"shadings","Tactile",90,75,15,1,13,15
"P8",NA,"shadings","Tactile",10,25,15,1,22,-15
"P8",NA,"shadings","Tactile",10,35,25,1,26,-25
"P8",NA,"shadings","Tactile",35,45,10,1,31,-10
"P9",NA,"shadings","Tactile",50,55,5,3,2,-5
"P9",NA,"shadings","Tactile",60,65,5,3,8,-5
"P9",NA,"shadings","Tactile",60,75,15,3,13,-15
"P9",NA,"shadings","Tactile",30,25,5,3,22,5
"P9",NA,"shadings","Tactile",40,35,5,3,26,5
"P9",NA,"shadings","Tactile",50,45,5,3,31,5
"P10",NA,"shadings","Tactile",60,55,5,3,2,5
"P10",NA,"shadings","Tactile",80,65,15,3,8,15
"P10",NA,"shadings","Tactile",50,75,25,3,13,-25
"P10",NA,"shadings","Tactile",70,25,45,3,22,45
"P10",NA,"shadings","Tactile",40,35,5,3,26,5
"P10",NA,"shadings","Tactile",30,45,15,3,31,-15
"P11",NA,"shadings","Tactile",50,55,5,2,2,-5
"P11",NA,"shadings","Tactile",33,65,32,2,8,-32
"P11",NA,"shadings","Tactile",66,75,9,2,13,-9
"P11",NA,"shadings","Tactile",5,25,20,2,22,-20
"P11",NA,"shadings","Tactile",25,35,10,2,26,-10
"P11",NA,"shadings","Tactile",15,45,30,2,31,-30
"P12",NA,"shadings","Tactile",40,55,15,1,2,-15
"P12",NA,"shadings","Tactile",80,65,15,1,8,15
"P12",NA,"shadings","Tactile",90,75,15,1,13,15
"P12",NA,"shadings","Tactile",10,25,15,1,22,-15
"P12",NA,"shadings","Tactile",20,35,15,1,26,-15
"P12",NA,"shadings","Tactile",10,45,35,1,31,-35
"P1",NA,"position_aligned","Tactile",80,75,5,1,5,5
"P1",NA,"position_aligned","Tactile",20,25,5,1,11,-5
"P1",NA,"position_aligned","Tactile",50,35,15,1,14,15
"P1",NA,"position_aligned","Tactile",30,45,15,1,23,-15
"P1",NA,"position_aligned","Tactile",60,55,5,1,29,5
"P1",NA,"position_aligned","Tactile",90,65,25,1,35,25
"P2",NA,"position_aligned","Tactile",50,75,25,3,5,-25
"P2",NA,"position_aligned","Tactile",27,25,2,3,11,2
"P2",NA,"position_aligned","Tactile",33,35,2,3,14,-2
"P2",NA,"position_aligned","Tactile",50,45,5,3,23,5
"P2",NA,"position_aligned","Tactile",40,55,15,3,29,-15
"P2",NA,"position_aligned","Tactile",55,65,10,3,35,-10
"P3",NA,"position_aligned","Tactile",80,75,5,1,5,5
"P3",NA,"position_aligned","Tactile",20,25,5,1,11,-5
"P3",NA,"position_aligned","Tactile",28,35,7,1,14,-7
"P3",NA,"position_aligned","Tactile",40,45,5,1,23,-5
"P3",NA,"position_aligned","Tactile",30,55,25,1,29,-25
"P3",NA,"position_aligned","Tactile",60,65,5,1,35,-5
"P4",NA,"position_aligned","Tactile",70,75,5,2,5,-5
"P4",NA,"position_aligned","Tactile",15,25,10,2,11,-10
"P4",NA,"position_aligned","Tactile",25,35,10,2,14,-10
"P4",NA,"position_aligned","Tactile",40,45,5,2,23,-5
"P4",NA,"position_aligned","Tactile",50,55,5,2,29,-5
"P4",NA,"position_aligned","Tactile",50,65,15,2,35,-15
"P5",NA,"position_aligned","Tactile",50,75,25,3,5,-25
"P5",NA,"position_aligned","Tactile",25,25,0,3,11,0
"P5",NA,"position_aligned","Tactile",25,35,10,3,14,-10
"P5",NA,"position_aligned","Tactile",50,45,5,3,23,5
"P5",NA,"position_aligned","Tactile",33,55,22,3,29,-22
"P5",NA,"position_aligned","Tactile",50,65,15,3,35,-15
"P6",NA,"position_aligned","Tactile",80,75,5,2,5,5
"P6",NA,"position_aligned","Tactile",15,25,10,2,11,-10
"P6",NA,"position_aligned","Tactile",40,35,5,2,14,5
"P6",NA,"position_aligned","Tactile",45,45,0,2,23,0
"P6",NA,"position_aligned","Tactile",48,55,7,2,29,-7
"P6",NA,"position_aligned","Tactile",64,65,1,2,35,-1
"P7",NA,"position_aligned","Tactile",50,75,25,2,5,-25
"P7",NA,"position_aligned","Tactile",25,25,0,2,11,0
"P7",NA,"position_aligned","Tactile",30,35,5,2,14,-5
"P7",NA,"position_aligned","Tactile",30,45,15,2,23,-15
"P7",NA,"position_aligned","Tactile",50,55,5,2,29,-5
"P7",NA,"position_aligned","Tactile",50,65,15,2,35,-15
"P8",NA,"position_aligned","Tactile",35,75,40,1,5,-40
"P8",NA,"position_aligned","Tactile",40,45,5,1,23,-5
"P8",NA,"position_aligned","Tactile",25,55,30,1,29,-30
"P8",NA,"position_aligned","Tactile",90,65,25,1,35,25
"P9",NA,"position_aligned","Tactile",75,75,0,3,5,0
"P9",NA,"position_aligned","Tactile",25,25,0,3,11,0
"P9",NA,"position_aligned","Tactile",36,35,1,3,14,1
"P9",NA,"position_aligned","Tactile",42,45,3,3,23,-3
"P9",NA,"position_aligned","Tactile",58,55,3,3,29,3
"P9",NA,"position_aligned","Tactile",55,65,10,3,35,-10
"P10",NA,"position_aligned","Tactile",40,75,35,3,5,-35
"P10",NA,"position_aligned","Tactile",15,25,10,3,11,-10
"P10",NA,"position_aligned","Tactile",25,35,10,3,14,-10
"P10",NA,"position_aligned","Tactile",35,45,10,3,23,-10
"P10",NA,"position_aligned","Tactile",25,55,30,3,29,-30
"P10",NA,"position_aligned","Tactile",45,65,20,3,35,-20
"P11",NA,"position_aligned","Tactile",30,75,45,2,5,-45
"P11",NA,"position_aligned","Tactile",10,25,15,2,11,-15
"P11",NA,"position_aligned","Tactile",40,35,5,2,14,5
"P11",NA,"position_aligned","Tactile",33,45,12,2,23,-12
"P11",NA,"position_aligned","Tactile",50,55,5,2,29,-5
"P11",NA,"position_aligned","Tactile",85,65,20,2,35,20
"P12",NA,"position_aligned","Tactile",60,75,15,1,5,-15
"P12",NA,"position_aligned","Tactile",20,25,5,1,11,-5
"P12",NA,"position_aligned","Tactile",25,35,10,1,14,-10
"P12",NA,"position_aligned","Tactile",60,45,15,1,23,15
"P12",NA,"position_aligned","Tactile",50,55,5,1,29,-5
"P12",NA,"position_aligned","Tactile",40,65,25,1,35,-25
"P1",NA,"position_unaligned","Tactile",50,45,5,1,4,5
"P1",NA,"position_unaligned","Tactile",60,55,5,1,9,5
"P1",NA,"position_unaligned","Tactile",99,65,34,1,16,34
"P1",NA,"position_unaligned","Tactile",60,75,15,1,21,-15
"P1",NA,"position_unaligned","Tactile",15,25,10,1,28,-10
"P1",NA,"position_unaligned","Tactile",20,35,15,1,33,-15
"P2",NA,"position_unaligned","Tactile",45,45,0,3,4,0
"P2",NA,"position_unaligned","Tactile",45,55,10,3,9,-10
"P2",NA,"position_unaligned","Tactile",70,65,5,3,16,5
"P2",NA,"position_unaligned","Tactile",80,75,5,3,21,5
"P2",NA,"position_unaligned","Tactile",23,25,2,3,28,-2
"P2",NA,"position_unaligned","Tactile",45,35,10,3,33,10
"P3",NA,"position_unaligned","Tactile",30,45,15,1,4,-15
"P3",NA,"position_unaligned","Tactile",50,55,5,1,9,-5
"P3",NA,"position_unaligned","Tactile",60,65,5,1,16,-5
"P3",NA,"position_unaligned","Tactile",75,75,0,1,21,0
"P3",NA,"position_unaligned","Tactile",15,25,10,1,28,-10
"P3",NA,"position_unaligned","Tactile",60,35,25,1,33,25
"P4",NA,"position_unaligned","Tactile",40,45,5,2,4,-5
"P4",NA,"position_unaligned","Tactile",50,55,5,2,9,-5
"P4",NA,"position_unaligned","Tactile",70,65,5,2,16,5
"P4",NA,"position_unaligned","Tactile",60,75,15,2,21,-15
"P4",NA,"position_unaligned","Tactile",15,25,10,2,28,-10
"P4",NA,"position_unaligned","Tactile",40,35,5,2,33,5
"P5",NA,"position_unaligned","Tactile",25,45,20,3,4,-20
"P5",NA,"position_unaligned","Tactile",50,55,5,3,9,-5
"P5",NA,"position_unaligned","Tactile",25,65,40,3,16,-40
"P5",NA,"position_unaligned","Tactile",50,75,25,3,21,-25
"P5",NA,"position_unaligned","Tactile",25,25,0,3,28,0
"P5",NA,"position_unaligned","Tactile",25,35,10,3,33,-10
"P6",NA,"position_unaligned","Tactile",35,45,10,2,4,-10
"P6",NA,"position_unaligned","Tactile",46,55,9,2,9,-9
"P6",NA,"position_unaligned","Tactile",70,65,5,2,16,5
"P6",NA,"position_unaligned","Tactile",90,75,15,2,21,15
"P6",NA,"position_unaligned","Tactile",20,25,5,2,28,-5
"P6",NA,"position_unaligned","Tactile",42,35,7,2,33,7
"P7",NA,"position_unaligned","Tactile",30,45,15,2,4,-15
"P7",NA,"position_unaligned","Tactile",50,55,5,2,9,-5
"P7",NA,"position_unaligned","Tactile",50,65,15,2,16,-15
"P7",NA,"position_unaligned","Tactile",80,75,5,2,21,5
"P7",NA,"position_unaligned","Tactile",25,25,0,2,28,0
"P7",NA,"position_unaligned","Tactile",30,35,5,2,33,-5
"P8",NA,"position_unaligned","Tactile",35,45,10,1,4,-10
"P8",NA,"position_unaligned","Tactile",85,55,30,1,9,30
"P8",NA,"position_unaligned","Tactile",95,65,30,1,16,30
"P8",NA,"position_unaligned","Tactile",85,75,10,1,21,10
"P8",NA,"position_unaligned","Tactile",10,25,15,1,28,-15
"P8",NA,"position_unaligned","Tactile",25,35,10,1,33,-10
"P9",NA,"position_unaligned","Tactile",40,45,5,3,4,-5
"P9",NA,"position_unaligned","Tactile",50,55,5,3,9,-5
"P9",NA,"position_unaligned","Tactile",50,65,15,3,16,-15
"P9",NA,"position_unaligned","Tactile",80,75,5,3,21,5
"P9",NA,"position_unaligned","Tactile",25,25,0,3,28,0
"P9",NA,"position_unaligned","Tactile",36,35,1,3,33,1
"P10",NA,"position_unaligned","Tactile",25,45,20,3,4,-20
"P10",NA,"position_unaligned","Tactile",55,55,0,3,9,0
"P10",NA,"position_unaligned","Tactile",60,65,5,3,16,-5
"P10",NA,"position_unaligned","Tactile",75,75,0,3,21,0
"P10",NA,"position_unaligned","Tactile",20,25,5,3,28,-5
"P10",NA,"position_unaligned","Tactile",25,35,10,3,33,-10
"P11",NA,"position_unaligned","Tactile",10,45,35,2,4,-35
"P11",NA,"position_unaligned","Tactile",20,55,35,2,9,-35
"P11",NA,"position_unaligned","Tactile",80,65,15,2,16,15
"P11",NA,"position_unaligned","Tactile",80,75,5,2,21,5
"P11",NA,"position_unaligned","Tactile",10,25,15,2,28,-15
"P11",NA,"position_unaligned","Tactile",50,35,15,2,33,15
"P12",NA,"position_unaligned","Tactile",30,45,15,1,4,-15
"P12",NA,"position_unaligned","Tactile",50,55,5,1,9,-5
"P12",NA,"position_unaligned","Tactile",60,65,5,1,16,-5
"P12",NA,"position_unaligned","Tactile",75,75,0,1,21,0
"P12",NA,"position_unaligned","Tactile",30,25,5,1,28,5
"P12",NA,"position_unaligned","Tactile",25,35,10,1,33,-10
